Property Name,Consolidated Property Types,Address,City,County,State,ZIP Code,Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),ENERGY STAR Certification Years,Tax Parcel
PHS-Spaulding Rehabilitation Hospital - West Roxbury,Hospital (General Medical & Surgical),1245 Centre Street,Boston,Suffolk,MA,2132,71242,1980,2014,100,141.8,,,,,,512.4,,,
Tufts Medical Center,Hospital (General Medical & Surgical),800 Washington St,Boston,Suffolk,MA,2111,2102964,1982,2014,75,174.4,,,,,,25142.6,29.32,,
Hebrew Rehabilitation Center,Hospital (General Medical & Surgical),1200 Centre St,Boston,Suffolk,MA,2131,419575,1963,2014,91,182.4,,,,,,5215,,,
Carney Hospital,Hospital (General Medical & Surgical),2100 Dorchester Avenue,Boston,Suffolk,MA,2124,540000,1953,2014,74,194.1,,,,,,7286.6,53.73,,1605017010
Boston Medical Center,Hospital (General Medical & Surgical),One Boston Medical Center Place,Boston,Suffolk,MA,2118,2828429,1986,2014,33,215.2,,,,,,36992.5,40.85,,
St. Elizabeth Medical Center,Hospital (General Medical & Surgical),736 Cambridge Street,Boston,Suffolk,MA,2135,651000,1960,2014,89,225.4,,,,,,9356.6,24.39,,2101836000;2101835100
PHS-MGH Main Campus,Hospital (General Medical & Surgical),55 Fruit St.,Boston,Suffolk,MA,2114,4637402,1811,2014,17,253,,,,,,77894.7,35.1,,0300370000;0300445000;0300445001;0300370000
New England Baptist Hospital,Hospital (General Medical & Surgical),125 Parker Hill Avenue,Boston,Suffolk,MA,2120,425548,1893,2014,9,282.1,,,,,,8657.5,52.95,,1001212000;1001213001
PHS-BWH Main Campus,Hospital (General Medical & Surgical),75 Francis Street,Boston,Suffolk,MA,2115,2138279,1910,2014,27,321.1,,,,,,47893.7,26.67,,401896000
BIDMC East && West Campus,Hospital (General Medical & Surgical),330 Brookline Ave.,Boston,Suffolk,MA,2215,2921603,1975,2014,,322.7,,,,,,56693.7,24.51,,0401862000;0401861000;0401944000;0401954000;0401964001;0401942000
Holiday Inn Express Boston Garden,Hotel,280 Friend St,Boston,Suffolk,MA,2114,54054,1899,2014,93,53.5,,,,,,238.9,,,
Courtyard Boston Downtown,Hotel,275 Tremont St,Boston,Suffolk,MA,2116,375000,1925,2014,80,61.9,,,,,,1665,32.21,,
Copley Square Hotel,Hotel,47 Huntington Ave,Boston,Suffolk,MA,2116,74214,1891,2014,61,63.9,,,,,,456.8,67.35,,
"The Westin Copley Place, Boston",Hotel,10 Huntington Avenue,Boston,Suffolk,MA,2116,976515,1982,2014,74,70.5,,,,,,4998.9,28.04,,401067010
Doubletree Suites,Hotel,400 Soldiers Field Rd,Boston,Suffolk,MA,2134,244038,1990,2014,,71.2,,,,,,1390.8,73.39,,2200102000
Wyndham Boston at Beacon Hill,Hotel,5 Blossom Street,Boston,Suffolk,MA,2114,224602,1968,2014,79,72.8,,,,,,1256.8,44.5,2013,300660002
Four Seasons Place - Hotel/Condo Management,Hotel,200/220 Boylston Street,Boston,Suffolk,MA,2116,887170,1980,2014,35,73.7,,,,,,4858.8,27.19,,
Bosbh-Boston Hilton Back Bay,Hotel,40 Dalton Street,Boston,Suffolk,MA,2115,393752,2007,2014,58,74.5,,,,,,2458.5,46.86,,401327000
Comfort Inn Boston,Hotel,944 Morrissey Blvd,Boston,Suffolk,MA,2122,47094,1985,2014,43,75.1,,,,,,306,93.09,,1602553000
The langham Boston,Hotel,250 Franklin St,Boston,Suffolk,MA,2110,280000,1922,2014,41,75.5,,,,,,274.9,,,304157000
EGLESTON,K-12 School,3134 Wasington St,Boston,Suffolk,MA,2130,30000,1978,2014,100,6.6,,,,,,19,,,
Saint John School,K-12 School,9 Moon Street,Boston,Suffolk,MA,2113,58645,1899,2014,100,24.1,,,,,,87.7,,,
SUMNER,K-12 School,15 Basile St.,Boston,Suffolk,MA,2131,49105,1931,2014,100,25.7,,,,,,87.3,0.81,,
MATTAHUNT,K-12 School,100 Hebron St.,Boston,Suffolk,MA,2126,171035,1977,2014,100,30,,,,,,352.7,0.5,,
MISSION,K-12 School,67 Alleghany St.,Boston,Suffolk,MA,2120,64400,1925,2014,100,30.4,,,,,,109.8,0.29,,
KENNEDY PJ,K-12 School,343 Saratoga St.,Boston,Suffolk,MA,2128,36190,1926,2014,100,36.5,,,,,,83.9,0.92,,
DEARBORN,K-12 School,35 Geenville St.,Boston,Suffolk,MA,2119,112128,1913,2014,100,36.9,,,,,,248.5,0.35,,
MCKAY,K-12 School,122 Cottage St.,Boston,Suffolk,MA,2128,79082,1926,2014,97,39.1,,,,,,210.8,1.05,,
QUINCY MODULARS,K-12 School,900 Washington St.,Boston,Suffolk,MA,2111,16960,2000,2014,96,39.9,,,,,,51.4,1.19,,
SHAW PA,K-12 School,429 Norfolk St.,Boston,Suffolk,MA,2124,32706,1919,2014,99,40.2,,,,,,81.8,0.5,,
Worcester City Campus Corp  -Massbiologics - Admin,Laboratory,458 Walk Hill Street,Boston,Suffolk,MA,2026,95000,2009,2014,,98.3,,,,,,903.5,18.34,,1405198175
2 Cummington Street (23-25 Blandford Street),Laboratory,2 Cummington Street (23-25 Blandford Street),Boston,Suffolk,MA,2215,61754,1905,2014,,155.9,,,,,,711.6,22.91,,2100295000
3-5 Cummington Street (616-620 Comm. Ave.),Laboratory,3-5 Cummington Street (616-620 Comm. Ave.),Boston,Suffolk,MA,2215,149118,1913,2014,,166.9,,,,,,1865.6,12.58,,2100350000
Vertex TWO,Laboratory,11 Fan Pier Blvd.,Boston,Suffolk,MA,2210,516693,2013,2014,,198.8,,,,,,7956.7,16.16,,602671017
HMS-Armenise,Laboratory,210 Longwood Ave,Boston,Suffolk,MA,2115,133645,1905,2014,,219,,,,,,2084.9,64.86,,401882000
Vertex ONE,Laboratory,50 Northern Ave,Boston,Suffolk,MA,2210,685239,2013,2014,,220,,,,,,9677.2,18.25,,602671015
549 Albany Street - 535139,Laboratory,549 Albany Street,Boston,Suffolk,MA,2118,105462,1895,2014,,222.6,,,,,,1806.6,3.15,,0801159000;0801161000;0801154010
Harvard SPH 1,Laboratory,665 Huntington Ave,Boston,Suffolk,MA,2115,164789,1960,2014,,230.3,,,,,,2720.2,7.92,,401880000
30-38 Cummington Street,Laboratory,30-38 Cummington Street,Boston,Suffolk,MA,2215,36563,1917,2014,,236.1,,,,,,640.1,73.24,,
HMS-Goldenson,Laboratory,220 Longwood,Boston,Suffolk,MA,2115,133445,1905,2014,,246.5,,,,,,2365.7,43.25,,401882000
26 Irwin Av,Multifamily Housing,26 Irwin Av,Boston,Suffolk,MA,2119,238221,1889,2014,100,1.5,,,,,,19.3,0.56,,1200403000
Commercial Wharf East Condominium,Multifamily Housing,49 Commercial Wharf,Boston,Suffolk,MA,2110,121932,1830,2014,,2.4,,,,,,27.9,22.98,,303028406
Mandela Homes,Multifamily Housing,1855 Washington Street,Boston,Suffolk,MA,2118,114190,1900,2014,100,2.9,,,,,,32.3,6.27,,901150000
416 Marlborough Street Condominium Trust,Multifamily Housing,41 6 Marlborough Street,Boston,Suffolk,MA,2115,781000,1988,2014,100,3.8,,,,,,202,4.87,,503596000
22 Hammond Street,Multifamily Housing,22 Hammond Street,Boston,Suffolk,MA,2120,114190,1900,2014,100,3.8,,,,,,42.5,19.47,,901850000
Charlestown Navy Yard Rowhouses,Multifamily Housing,110 First Ave,Boston,Suffolk,MA,2129,28820,1989,2014,100,7.7,,,,,,21.3,64.4,,203517500
Sidlaw Park Condominium,Multifamily Housing,"24, 28, 32 Sidlaw Road",Boston,Suffolk,MA,2135,35000,1928,2014,100,8.1,,,,,,27.6,48.68,,
